ts_unix	user_id	side	ts_ms	imu_state_num	imu_state	rep_id	desc_ms	rise_ms	tempo_cv	tempo_score	tempo_level	pitch_deg	pitch_vel_dps
1760875615.445	user_061	L	1244626	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875615.684	user_061	L	1244727	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	-0.0
1760875615.684	user_061	L	1244829	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875615.715	user_061	L	1244931	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875615.805	user_061	L	1245033	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875615.97	user_061	L	1245135	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875616.03	user_061	L	1245237	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875616.258	user_061	L	1245340	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875616.258	user_061	L	1245441	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875616.345	user_061	L	1245542	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875616.546	user_061	L	1245645	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875616.546	user_061	L	1245746	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875616.66	user_061	L	1245848	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875616.837	user_061	L	1245950	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	-0.0
1760875616.885	user_061	L	1246052	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875617.123	user_061	L	1246154	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875617.123	user_061	L	1246256	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875617.157	user_061	L	1246358	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875617.408	user_061	L	1246460	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875617.408	user_061	L	1246561	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875617.693	user_061	L	1246664	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.0
1760875617.715	user_061	L	1246765	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875617.715	user_061	L	1246867	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875617.785	user_061	L	1246969	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875617.979	user_061	L	1247071	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875618.01	user_061	L	1247173	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875618.101	user_061	L	1247275	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.58	0.0
1760875618.269	user_061	L	1247377	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.59	0.01
1760875618.325	user_061	L	1247478	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.49	-0.1
1760875618.554	user_061	L	1247581	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.44	-0.12
1760875618.554	user_061	L	1247683	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.44	-0.11
1760875618.64	user_061	L	1247784	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.43	-0.11
1760875618.845	user_061	L	1247886	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.42	-0.1
1760875618.845	user_061	L	1247988	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.42	-0.09
1760875618.955	user_061	L	1248090	0	HOLD	0	0	0	0.0	100	A_매우안정	-2.42	-0.09
1760875619.129	user_061	L	1248192	0	HOLD	0	0	0	0.0	100	A_매우안정	-1.7	-0.71
1760875619.181	user_061	L	1248295	0	HOLD	0	0	0	0.0	100	A_매우안정	-1.13	-1.2
1760875619.413	user_061	L	1248396	0	HOLD	0	0	0	0.0	100	A_매우안정	-0.47	-1.55
1760875619.413	user_061	L	1248498	0	HOLD	0	0	0	0.0	100	A_매우안정	-5.19	3.21
1760875619.45	user_061	L	1248600	1	RISE	0	0	0	0.0	100	A_매우안정	-16.73	13.82
1760875619.699	user_061	L	1248701	1	RISE	0	0	0	0.0	100	A_매우안정	-28.68	24.04
1760875619.699	user_061	L	1248804	1	RISE	0	0	0	0.0	100	A_매우안정	-37.23	29.38
1760875619.81	user_061	L	1248905	1	RISE	0	0	0	0.0	100	A_매우안정	-42.89	31.47
1760875619.981	user_061	L	1249007	1	RISE	0	0	0	0.0	100	A_매우안정	-47.04	31.56
1760875619.991	user_061	L	1249109	1	RISE	0	0	0	0.0	100	A_매우안정	-49.82	30.63
1760875620.081	user_061	L	1249211	1	RISE	0	0	0	0.0	100	A_매우안정	-54.64	31.2
1760875620.272	user_061	L	1249313	1	RISE	0	0	0	0.0	100	A_매우안정	-60.32	33.33
1760875620.306	user_061	L	1249415	1	RISE	0	0	0	0.0	100	A_매우안정	-69.18	38.01
1760875620.395	user_061	L	1249517	1	RISE	0	0	0	0.0	100	A_매우안정	-83.32	47.88
1760875620.557	user_061	L	1249619	1	RISE	0	0	0	0.0	100	A_매우안정	-89.49	51.86
1760875620.62	user_061	L	1249721	1	RISE	0	0	0	0.0	100	A_매우안정	-85.76	46.1
1760875620.841	user_061	L	1249822	1	RISE	0	0	0	0.0	100	A_매우안정	-80.31	37.12
1760875620.841	user_061	L	1249924	1	RISE	0	0	0	0.0	100	A_매우안정	-67.98	20.82
1760875621.126	user_061	L	1250026	0	HOLD	1	0	1399	0.0	100	A_매우안정	-41.78	-8.99
1760875621.126	user_061	L	1250128	-1	DESC	1	0	0	0.0	100	A_매우안정	-9.91	-36.72
1760875621.126	user_061	L	1250230	-1	DESC	1	0	0	0.0	100	A_매우안정	0.58	-42.93
1760875621.25	user_061	L	1250332	-1	DESC	1	0	0	0.0	100	A_매우안정	-1.16	-37.33
1760875621.431	user_061	L	1250434	-1	DESC	1	0	0	0.0	100	A_매우안정	-3.55	-31.55
1760875621.52	user_061	L	1250537	-1	DESC	1	0	0	0.0	100	A_매우안정	-8.18	-23.85
1760875621.7	user_061	L	1250638	0	HOLD	1	602	0	0.0	100	A_매우안정	-20.89	-9.59
1760875621.7	user_061	L	1250740	0	HOLD	1	602	0	0.0	100	A_매우안정	-30.89	0.68
1760875621.745	user_061	L	1250842	1	RISE	1	602	0	0.0	100	A_매우안정	-44.42	13.46
1760875621.986	user_061	L	1250943	1	RISE	1	602	0	0.0	100	A_매우안정	-60.16	26.8
1760875621.986	user_061	L	1251045	1	RISE	1	602	0	0.0	100	A_매우안정	-71.75	34.08
1760875622.106	user_061	L	1251147	1	RISE	1	602	0	0.0	100	A_매우안정	-82.6	40.33
1760875622.268	user_061	L	1251249	1	RISE	1	602	0	0.0	100	A_매우안정	-88.63	43.52
1760875622.284	user_061	L	1251351	1	RISE	1	602	0	0.0	100	A_매우안정	-86.01	38.77
1760875622.375	user_061	L	1251453	1	RISE	1	602	0	0.0	100	A_매우안정	-83.64	33.45
1760875622.558	user_061	L	1251555	1	RISE	1	602	0	0.0	100	A_매우안정	-80.78	27.15
1760875622.6	user_061	L	1251657	1	RISE	1	602	0	0.0	100	A_매우안정	-82.18	24.81
1760875622.85	user_061	L	1251759	1	RISE	1	602	0	0.0	100	A_매우안정	-82.17	22.38
1760875622.85	user_061	L	1251861	1	RISE	1	602	0	0.0	100	A_매우안정	-78.16	15.43
